company_slug,company_name,industry,city,draft_description,status,is_public,note
fest,!FEST,HoReCa,,"!FEST — компанія у сфері HoReCa. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
1-1-media,1+1 media,Media,,"1+1 media — компанія у сфері Media. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
24-kanal,24 Канал,Media,,"24 Канал — компанія у сфері Media. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
a-bank,A-Банк,Банки і фінанси,,"A-Банк — компанія у сфері Банки і фінанси. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
acino-ukraine,Acino Ukraine,Фармацевтика,,"Acino Ukraine — компанія у сфері Фармацевтика. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
adamant,Adamant,Telecom,,"Adamant — компанія у сфері Telecom. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
adelina-call-center,Adelina Call Center,Послуги,Київ,"Adelina Call Center — компанія у сфері Послуги. Компанія вказана з містом: Київ. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
adonis,Adonis,Медицина,,"Adonis — компанія у сфері Медицина. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
advanter-group,Advanter Group,Консалтинг,,"Advanter Group — компанія у сфері Консалтинг. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
aequo,Aequo,Юридичні послуги,,"Aequo — компанія у сфері Юридичні послуги. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
agricom-group,Agricom Group,Агро,,"Agricom Group — компанія у сфері Агро. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
agrogeneration,AgroGeneration,Агро,,"AgroGeneration — компанія у сфері Агро. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
agroprosperis,Agroprosperis,Агро,,"Agroprosperis — компанія у сфері Агро. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
